stevilka,ime,tema,podtema,leto,st_kock,st_minifigur,dostopnost,msrp,vrednost
75033.0,Star Destroyer,Star Wars,MicroFighters,2014,100,1,Retired,9.99,15.93
75034.0,Death Star Troopers,Star Wars,Episode IV,2014,102,4,Retired,11.89,22.64
75035.0,Kashyyyk Troopers,Star Wars,Episode III,2014,99,4,Retired,11.89,61.44
75036.0,Utapau Troopers,Star Wars,Episode III,2014,83,4,Retired,11.89,75.67
75037.0,Battle on Saleucami,Star Wars,The Clone Wars,2014,183,5,Retired,19.99,74.62
75038.0,Jedi Interceptor,Star Wars,Episode III,2014,223,2,Retired,29.99,61.34
75039.0,V-Wing Starfighter,Star Wars,Episode III,2014,201,2,Retired,29.99,83.97
75040.0,General Grievous' Wheel Bike,Star Wars,Episode III,2014,261,2,Retired,29.99,78.02
75041.0,Vulture Droid,Star Wars,Episode III,2014,205,3,Retired,29.99,77.44
75042.0,Droid Gunship,Star Wars,Episode III,2014,439,4,Retired,49.99,96.56
75043.0,AT-AP,Star Wars,Episode III,2014,717,5,Retired,69.99,104.61
75044.0,Droid Tri-Fighter,Star Wars,Episode III,2014,262,4,Retired,39.99,86.49
75045.0,Republic AV-7 Anti-Vehicle Cannon,Star Wars,The Clone Wars,2014,434,4,Retired,49.99,217.72
75046.0,Coruscant Police Gunship,Star Wars,The Clone Wars,2014,481,4,Retired,59.99,278.08
75048.0,The Phantom,Star Wars,Rebels,2014,234,2,Retired,29.99,118.83
75049.0,Snowspeeder,Star Wars,Episode V,2014,278,3,Retired,39.99,88.04
75050.0,B-Wing,Star Wars,Episode VI,2014,448,3,Retired,29.99,127.38
75051.0,Jedi Scout Fighter,Star Wars,Original Content,2014,490,4,Retired,69.99,140.62
75052.0,Mos Eisley Cantina,Star Wars,Episode IV,2014,615,8,Retired,79.99,112.82
75053.0,The Ghost,Star Wars,Rebels,2014,929,4,Retired,99.99,636.62
75054.0,AT-AT,Star Wars,Episode V,2014,1138,5,Retired,119.99,157.86
75055.0,Imperial Star Destroyer,Star Wars,Episode IV,2014,1359,7,Retired,129.99,318.15
75056.0,Star Wars Advent Calendar,Star Wars,Seasonal,2014,274,9,Retired,29.99,61.76
75058.0,MTT,Star Wars,Episode I,2014,954,12,Retired,99.99,260.34
75059.0,Sandcrawler,Star Wars,Ultimate Collector Series,2014,3296,14,Retired,299.99,429.79
75060.0,Slave I,Star Wars,Ultimate Collector Series,2015,1996,5,Retired,199.99,424.94
75072.0,ARC-170 Starfighter,Star Wars,MicroFighters,2015,95,1,Retired,9.99,26.35
75073.0,Vulture Droid,Star Wars,MicroFighters,2015,77,1,Retired,9.99,26.54
75074.0,Snowspeeder,Star Wars,MicroFighters,2015,97,1,Retired,9.99,13.2
75075.0,AT-AT,Star Wars,MicroFighters,2015,88,1,Retired,9.99,12.13
75076.0,Republic Gunship,Star Wars,MicroFighters,2015,105,1,Retired,9.99,26.07
75077.0,Homing Spider Droid,Star Wars,MicroFighters,2015,102,1,Retired,9.99,20.28
75078.0,Imperial Troop Transport,Star Wars,Rebels,2015,141,4,Retired,16.99,29.8
75079.0,Shadow Troopers,Star Wars,Legends,2015,95,4,Retired,16.99,26.4
75080.0,AAT,Star Wars,Episode I,2015,251,3,Retired,29.99,53.5
75081.0,T-16 Skyhopper,Star Wars,Episode IV,2015,247,2,Retired,29.99,34.88
75082.0,TIE Advanced Prototype,Star Wars,Rebels,2015,355,3,Retired,49.99,139.96
75083.0,AT-DP,Star Wars,Rebels,2015,500,4,Retired,59.99,139.34
75084.0,Wookiee Gunship,Star Wars,Rebels,2015,570,4,Retired,69.99,122.98
75085.0,Hailfire Droid,Star Wars,Episode II,2015,163,3,Retired,26.99,83.35
75086.0,Battle Droid Troop Carrier,Star Wars,Episode I,2015,565,15,Retired,49.99,149.58
75087.0,Anakin's Custom Jedi Starfighter,Star Wars,The Clone Wars,2015,370,3,Retired,49.99,109.75
